gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
1.90422401e-314,2f7dd69a-5f89-4d8e-bd7f-a5f82089c89c,D877B6EF-B958-082A-E053-3014A8C0717A,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879","Eudyptes chrysocome filholi Hutton, 1879",TF,,,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-49.29819,69.48321,87006,NA,12,2018,6178307,4844854,HUMAN_OBSERVATION,,,,GUIBERT Quentin,2022-02-20T00:00:00Z,CC_BY_4_0,,GUIBERT Quentin (Réserve Naturelle des Terres Australes Françaises),2025-07-05T17:44:59Z,,COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6.28851423e-315,39905320-6c8a-11de-8226-b8a03c50a862,3c4fe802-39b0-40a7-ac77-3b34b137fd76,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,Buckles Bay,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.5,158.93,NA,10,4,1950,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B16963,,NA,CC0_1_0,Museums Victoria,N J. Favaloro,2025-07-18T03:36:37Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.288580904e-315,39905320-6c8a-11de-8226-b8a03c50a862,133dd849-8413-458a-931b-8334c81a51e8,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,Buckles Bay,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.5,158.93,NA,13,4,1950,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B4386,,NA,CC0_1_0,Museums Victoria,N J. Favaloro,2025-07-18T03:36:38Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.288580582e-315,39905320-6c8a-11de-8226-b8a03c50a862,30b85e12-fec2-4399-9e3c-ed4522491cc0,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,Buckles Bay,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.5,158.93,NA,13,4,1950,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B4363,,NA,CC0_1_0,Museums Victoria,N J. Favaloro,2025-07-18T03:36:39Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.288564674e-315,39905320-6c8a-11de-8226-b8a03c50a862,5a3a63bd-3ae7-48d1-84e0-86134913430d,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,HM,,Heard Island and McDonald Islands,PRESENT,2,4cff2aca-5ce5-4028-88e6-d79b6449173a,-53.03,73.5,NA,3,12,1949,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B3146,,NA,CC0_1_0,Museums Victoria,Unknown,2025-07-18T03:36:40Z,,RECORDED_DATE_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.28858087e-315,39905320-6c8a-11de-8226-b8a03c50a862,69d48503-7ad4-44d1-a6ba-e0aa8739d61b,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,Buckles Bay,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.5,158.93,NA,20,4,1950,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B4388,,NA,CC0_1_0,Museums Victoria,N J. Favaloro,2025-07-18T03:36:41Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.28855637e-315,39905320-6c8a-11de-8226-b8a03c50a862,b605303f-f3fc-4e13-beea-9bc92e257969,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,HM,"Heard Island, Atlas Cove",,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-53.02,73.47,NA,13,2,1950,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B2984,,NA,CC0_1_0,Museums Victoria,Unknown,2025-07-18T03:36:44Z,,RECORDED_DATE_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.28858825e-315,39905320-6c8a-11de-8226-b8a03c50a862,65d2a040-dd99-4433-a4cf-9c2bd695244d,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.48,158.97,NA,9,6,1949,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B5853,,NA,CC0_1_0,Museums Victoria,A J Gwynn,2025-07-18T03:36:53Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.288596383e-315,39905320-6c8a-11de-8226-b8a03c50a862,9a6ca0fb-057e-4e23-a70b-94b6fc054d0d,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,Garden Cove,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.48,158.93,NA,30,6,1961,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B7571,,NA,CC0_1_0,Museums Victoria,John Warham,2025-07-18T03:36:55Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.288580973e-315,39905320-6c8a-11de-8226-b8a03c50a862,93b5625d-6922-4a45-b06f-6d0137e53ca9,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,AU,Buckles Bay,Tasmania,PRESENT,1,4cff2aca-5ce5-4028-88e6-d79b6449173a,-54.5,158.93,NA,20,4,1950,6178307,4844854,PRESERVED_SPECIMEN,NMV,Ornithology,B4389,,NA,CC0_1_0,Museums Victoria,N J. Favaloro,2025-07-18T03:36:44Z,,RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
