gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
3.30051019e-315,36f15a36-6b45-442e-9c31-cd633423aee0,09b0fdc2-e9bd-4c87-9e9b-dd7c8306f7f7,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SUBSPECIES,"Eudyptes chrysocome moseleyi Mathews & Iredale, 1921",Eudyptes chrysocome moseleyi,US,(captive),,PRESENT,NA,7b8aff00-a9f8-11d8-944b-b8a03c50a862,27.208534,-81.360283,3127,28,7,1989,6178306,4352338,PRESERVED_SPECIMEN,FMNH,Birds,345116,,NA,CC0_1_0,The Field Museum of Natural History,Lincoln Park Zoological Society,2025-07-04T22:29:19Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1.345535236e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS889771787,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,ZA,Kommetjie,Western Cape,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.14098,18.325588,NA,31,1,2013,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS889771787,,NA,CC_BY_4_0,,obsr666761,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.0533703243e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS598470732,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,SH,Salt Beach (restricted access),Tristan da Cunha,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,-37.29224,-12.657515,NA,25,3,2018,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS598470732,,NA,CC_BY_4_0,,obsr236430,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.809615085e-315,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS456178171,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,SH,Nightingale Island (restricted access),Tristan da Cunha,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,-37.42418,-12.48251,NA,22,3,2008,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS456178171,,NA,CC_BY_4_0,,obsr37531,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.6307392295e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS979006176,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,SH,Nightingale Island (restricted access),Tristan da Cunha,PRESENT,50,e2e717bf-551a-4917-bdc9-4fa0f342c530,-37.42418,-12.48251,NA,17,3,2019,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS979006176,,NA,CC_BY_4_0,,obsr1527281,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.3406013123e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS807709241,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,SH,"Gough Island (historical only, not for current checklists. Please use more specific locations.)",Tristan da Cunha,PRESENT,30,e2e717bf-551a-4917-bdc9-4fa0f342c530,-40.317753,-9.932328,NA,4,4,2009,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS807709241,,NA,CC_BY_4_0,,obsr27134,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.851102005e-315,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS523746796,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,ZA,Kommetjie--Lighthouse,Western Cape,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.148144,18.3191,NA,31,1,2013,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS523746796,,NA,CC_BY_4_0,,obsr603645,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.741127113e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1132560187,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,SH,"(-40.349, -9.88)",Tristan da Cunha,PRESENT,11,e2e717bf-551a-4917-bdc9-4fa0f342c530,-40.349285,-9.880458,NA,20,4,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1132560187,,NA,CC_BY_4_0,,obsr93334,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.8226162025e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1281271144,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,FK,"Kidney Cove FK (-51.626, -57.776)",Falkland Islands (Malvinas),PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,-51.625824,-57.77612,NA,20,11,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1281271144,,NA,CC_BY_4_0,,obsr1928104,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.040999676e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS569890541,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,FK,Volunteer Point Penguin Colony,Falkland Islands (Malvinas),PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-51.47983,-57.83379,NA,19,1,2018,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS569890541,,NA,CC_BY_4_0,,obsr244206,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
