gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
5.290271227e-315,0645ccdb-e001-4ab0-9729-51f1755e007e,d7cae95a-93c3-46d6-807b-8b445a48b622,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,locality withheld,New South Wales,PRESENT,NA,ef66652d-3cc3-4140-b268-a07d1e53441b,-37.271004,150.050619,100,5,11,2006,2481634,2481634,HUMAN_OBSERVATION,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SGJW06110700,,NA,CC_BY_4_0,NSW Dept of Planning and Environment,ODMP02121702,2025-07-10T23:33:10Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND
5.271852415e-315,0645ccdb-e001-4ab0-9729-51f1755e007e,a895494f-8b46-433d-8f52-fd0a8483eeb6,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,locality withheld,New South Wales,PRESENT,NA,ef66652d-3cc3-4140-b268-a07d1e53441b,-35.910884,150.153209,10000,30,9,1994,2481634,2481634,HUMAN_OBSERVATION,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,45680-HO,,NA,CC_BY_4_0,NSW Dept of Planning and Environment,PADS-HO,2025-07-10T23:33:22Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND
1.640382306e-315,0debafd0-6c8a-11de-8225-b8a03c50a862,3e55aae4-42fd-4ddd-b505-388b95a23a63,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,"WEST OF PORT CULVER, 1 KM INLAND",Western Australia,PRESENT,NA,64bd66c1-e7d3-48d0-9462-488729aed122,-32.9167,124.7,2000,29,10,1973,2481634,2481634,PRESERVED_SPECIMEN,ANWC,Birds,B21062,,NA,CC_BY_4_0,,,2025-07-18T03:24:57Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
8.14091573e-315,2985efd1-45b1-46de-b6db-0465d2834a5a,1b989af6-078b-41e2-beac-8d5048155f65,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,,Tasmania,PRESENT,NA,e401baff-ed77-4484-9897-81209fa336d8,-41.277158,148.360155,500,18,7,2000,2481634,2481634,OBSERVATION,,,603481,,NA,CC_BY_4_0,,Darryel Binns (6900),2025-07-04T19:31:46Z,,CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
8.117360633e-315,37beb6ea-e591-41e3-b781-e384250dc42c,ebb72fc4-2507-4b78-ac50-a73feaa53edb,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Port Campbell Beach,Victoria,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.61895,142.99262,100,12,6,2000,2481634,2481634,HUMAN_OBSERVATION,,,4285721,,NA,CC_BY_4_0,,Philip Du Guesclin,2025-07-10T18:37:55Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.12056787e-315,37beb6ea-e591-41e3-b781-e384250dc42c,4d51bdee-903d-4f09-8d9e-df62e944c1fa,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Killarney Beach 7km E of Port Fairy,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.36482,142.28515,100,27,1,2000,2481634,2481634,HUMAN_OBSERVATION,,,4893810,,NA,CC_BY_4_0,,Not Supplied,2025-07-10T18:35:08Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.120588156e-315,37beb6ea-e591-41e3-b781-e384250dc42c,9d44a866-a66e-4eb9-bf09-4cff31426cc4,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Reef Point: via Port Fairy 3km E of Port Fairy,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.36571,142.28631,140,23,1,2000,2481634,2481634,HUMAN_OBSERVATION,,,4897567,,NA,CC_BY_4_0,,Not Supplied,2025-07-10T18:35:35Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.113925676e-315,37beb6ea-e591-41e3-b781-e384250dc42c,ce0bd3fe-d9b0-4310-ab40-bbcca32bb9f7,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,ROUGHLY 2 KM SW OF PORT FAIRY BAY,Victoria,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.3902,142.24304,900,9,1,1982,2481634,2481634,HUMAN_OBSERVATION,,,3582943,,NA,CC_BY_4_0,,NA See original data sheet,2025-07-10T18:36:50Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.117173303e-315,37beb6ea-e591-41e3-b781-e384250dc42c,1a4805ea-c8c7-408a-9275-784a4d0e488c,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Thomas's Corner Beach at Skenes Creek,Victoria,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.72902,143.70308,100,11,7,1990,2481634,2481634,HUMAN_OBSERVATION,,,4250473,,NA,CC_BY_4_0,,Colin Lane,2025-07-10T18:36:13Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.1143286e-315,37beb6ea-e591-41e3-b781-e384250dc42c,41997b51-c696-4c4e-b422-a4a9eb7ae108,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,10' BLOCK CONTAINING MARCUS HILL,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.33183,144.668,9000,28,7,1968,2481634,2481634,HUMAN_OBSERVATION,,,3663910,,NA,CC_BY_4_0,,RAOU VIC historical observer code 385,2025-07-10T18:39:33Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.11448899e-315,37beb6ea-e591-41e3-b781-e384250dc42c,5dee572c-1a72-4a1d-b6f6-f8fcd4d3a95d,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,WITHIN 2 KM OF PORTLAND,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.35687,141.60971,900,21,8,1951,2481634,2481634,HUMAN_OBSERVATION,,,3699427,,NA,CC_BY_4_0,,RAOU VIC historical observer code 74,2025-07-10T18:37:20Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.12728959e-315,37beb6ea-e591-41e3-b781-e384250dc42c,f85d6ef5-1678-40d4-816a-d7cb37038857,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,"Cotters Beach Cotters Beach, Wilson's Prom NP",Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.9348,146.2437,100,31,5,2011,2481634,2481634,HUMAN_OBSERVATION,,,6146504,,NA,CC_BY_4_0,,Mel VBA,2025-07-10T18:37:02Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.11458949e-315,37beb6ea-e591-41e3-b781-e384250dc42c,950147cf-92b1-4124-b33a-2010677879d4,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Portland,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.43187,141.68471,9000,19,8,1923,2481634,2481634,HUMAN_OBSERVATION,,,3724075,,NA,CC_BY_4_0,,RAOU VIC historical observer code 0143,2025-07-10T18:36:44Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.124792946e-315,37beb6ea-e591-41e3-b781-e384250dc42c,6ccba3dd-1ff6-4e79-af28-8ed4739d316f,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Queenscliff,Victoria,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.27667,144.61861,900,27,7,2008,2481634,2481634,HUMAN_OBSERVATION,,,5680326,,NA,CC_BY_4_0,,Bird Notes Birdline,2025-07-10T18:39:41Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.114589834e-315,37beb6ea-e591-41e3-b781-e384250dc42c,6f735016-836e-4594-9765-fc99bfb00169,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Portland,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.43187,141.68471,9000,17,4,1936,2481634,2481634,HUMAN_OBSERVATION,,,3724076,,NA,CC_BY_4_0,,RAOU VIC historical observer code 0122,2025-07-10T18:36:33Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.114488787e-315,37beb6ea-e591-41e3-b781-e384250dc42c,94bd2f78-557e-424a-bf86-ae8c57e96414,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Portland,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.43187,141.68471,9000,1,7,1959,2481634,2481634,HUMAN_OBSERVATION,,,3699423,,NA,CC_BY_4_0,,RAOU VIC historical observer code 0143,2025-07-10T18:39:51Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.114595777e-315,37beb6ea-e591-41e3-b781-e384250dc42c,e504a6dd-2eed-4e06-8cd5-de8b29cab61c,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,10' BLOCK CONTAINING WARRNAMBOOL,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.46519,142.60137,9000,1,7,1938,2481634,2481634,HUMAN_OBSERVATION,,,3725270,,NA,CC_BY_4_0,,RAOU VIC historical observer code 0133,2025-07-10T18:37:41Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.9924944876e-314,37beb6ea-e591-41e3-b781-e384250dc42c,40da0f84-704a-4fe1-9042-28ca8de5a896,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Barwon South West Boggaley Creek,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.61873,143.91288,100,10,7,2019,2481634,2481634,HUMAN_OBSERVATION,,,11113843,,NA,CC_BY_4_0,,Mark Keenan,2025-07-10T18:38:16Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.12279606e-315,37beb6ea-e591-41e3-b781-e384250dc42c,001092a5-7f5c-4490-b7ca-780a27ab2a8b,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Moonlight Head: Otway NP,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.76505,143.23491,100,4,7,1999,2481634,2481634,HUMAN_OBSERVATION,,,5306564,,NA,CC_BY_4_0,,Not Supplied,2025-07-10T18:37:05Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.113539154e-315,37beb6ea-e591-41e3-b781-e384250dc42c,53a02ffa-7cd6-4e56-b36a-b6fc897654de,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,5' BLOCK CONTAINING OXBOW LAKE,South Australia,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.04021,140.95971,4500,4,8,1979,2481634,2481634,HUMAN_OBSERVATION,,,3511735,,NA,CC_BY_4_0,,Cam Beardsell,2025-07-10T18:39:38Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.12058819e-315,37beb6ea-e591-41e3-b781-e384250dc42c,4959de28-2716-4d28-abcc-ab8c4a27c498,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,Reef Point: via Port Fairy 3km E of Port Fairy,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.36571,142.28631,140,23,1,2000,2481634,2481634,HUMAN_OBSERVATION,,,4897566,,NA,CC_BY_4_0,,Not Supplied,2025-07-10T18:36:21Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.11353922e-315,37beb6ea-e591-41e3-b781-e384250dc42c,a44a5054-b9c7-4c2b-ad45-235fad1e1b6a,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,5' BLOCK CONTAINING OXBOW LAKE,South Australia,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.04021,140.95971,4500,13,9,1979,2481634,2481634,HUMAN_OBSERVATION,,,3511736,,NA,CC_BY_4_0,,Cam Beardsell,2025-07-10T18:36:40Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
8.1173018e-315,37beb6ea-e591-41e3-b781-e384250dc42c,bd94e62f-a247-424d-b9a0-0248854d24b6,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,AU,2 Mile Bay Beach: Port Campbell National Park,Victoria,PRESENT,1,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.62386,142.96863,100,9,6,1996,2481634,2481634,HUMAN_OBSERVATION,,,4274486,,NA,CC_BY_4_0,,John McInerney,2025-07-10T18:37:39Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
