gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
1.27170492e-315,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS94667673,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,ZZ,"-49.5,146",High Seas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-49.5,146,NA,2,4,1993,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD,OBS94667673,,NA,CC_BY_4_0,,obsr47423,2025-07-04T13:36:09Z,,COUNTRY_COORDINATE_MISMATCH;TAXON_CONCEPT_ID_NOT_FOUND
8.520097617e-315,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_NZ:OBS387135755,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,Snares Islands (NE Island),Southland,PRESENT,500,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.01944,166.61003,NA,11,2,2016,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_NZ,OBS387135755,,NA,CC_BY_4_0,,obsr154724,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.042673488e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_NZ:OBS556697483,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,The Snares--Station Cove/Ho Ho Bay,Southland,PRESENT,200,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.02372,166.61046,NA,3,12,2017,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_NZ,OBS556697483,,NA,CC_BY_4_0,,obsr411589,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.0128841535e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_NZ:OBS479443660,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,Horseshoe bay,Southland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-46.892895,168.12823,NA,22,3,2017,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_NZ,OBS479443660,,NA,CC_BY_4_0,,obsr167943,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
2.2812288784e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1658921357,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,AR,Parque Interjurisdiccional Marino Isla Pingüino--Isla Pingüino,Santa Cruz,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-47.907738,-65.71601,NA,18,3,2023,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD,OBS1658921357,,NA,CC_BY_4_0,,obsr976263,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.5893758703e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS832365512,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,Snares Islands (General),Southland,PRESENT,250,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.026455,166.60286,NA,16,11,2009,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD,OBS832365512,,NA,CC_BY_4_0,,obsr1323780,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
2.1103840304e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1392482524,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,Station Point to Seal Point,Southland,PRESENT,63,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.02199,166.61084,NA,10,4,2022,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1392482524,,NA,CC_BY_4_0,,obsr152785,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.7336148855e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1068663683,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,snares island,Southland,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.01976,166.60931,NA,4,2,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1068663683,,NA,CC_BY_4_0,,obsr420781,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
4.654540375e-315,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS184679240,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,Taiaroa Head--Royal Albatross Centre,Otago,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-45.77597,170.72946,NA,17,2,2004,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD,OBS184679240,,NA,CC_BY_4_0,,obsr153416,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
2.3481470544e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1597604282,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,Snares Islands (General),Southland,PRESENT,400,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.026455,166.60286,NA,3,1,2023,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1597604282,,NA,CC_BY_4_0,,obsr2357347,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
