gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
1.3760106454e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_NZ:OBS791920249,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Off east coast of Auckland Island,Southland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-50.609226,166.32814,NA,2,2,2018,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD_NZ,OBS791920249,,NA,CC_BY_4_0,,obsr414648,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.04494728e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS562431250,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Auckland Islands -- Carnley Harbour,Southland,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,-50.8398,166.0982,NA,25,12,2017,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS562431250,,NA,CC_BY_4_0,,obsr441547,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.3814589286e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS823254672,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Katiki Point,Otago,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-45.39242,170.86688,NA,2,11,2019,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS823254672,,NA,CC_BY_4_0,,obsr734889,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
2.1017127885e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1591425257,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Enderby Island,Southland,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,-50.49442,166.29489,NA,27,12,2022,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1591425257,,NA,CC_BY_4_0,,obsr994795,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
2.38990129e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1873351184,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Stewart Island--Oban & Halfmoon Bay,Southland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-46.89847,168.12863,NA,12,11,2023,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS1873351184,,NA,CC_BY_4_0,,obsr148972,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.0390005865e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS563342435,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Otago Peninsula--general area,Otago,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,-45.81564,170.70642,NA,11,12,2004,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS563342435,,NA,CC_BY_4_0,,obsr541939,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.312254641e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS705776912,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Katiki Point,Otago,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,-45.39242,170.86688,NA,2,2,2019,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS705776912,,NA,CC_BY_4_0,,obsr107304,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
1.5783086017e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS990415318,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Oamaru Blue Penguin Colony,Otago,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,-45.11115,170.9772,NA,25,2,2002,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS990415318,,NA,CC_BY_4_0,,obsr522088,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
6.723451586e-315,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_AU:OBS311435106,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Nugget Point,Otago,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-46.447556,169.81653,NA,26,3,2015,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD_AU,OBS311435106,,NA,CC_BY_4_0,,obsr578742,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
2.10370491e-314,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1581137167,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,NZ,Curio Bay,Southland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-46.661335,169.09761,NA,14,12,2022,2481632,2481632,HUMAN_OBSERVATION,CLO,EBIRD,OBS1581137167,,NA,CC_BY_4_0,,obsr3346553,2025-07-04T13:36:09Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
